pass 2, stk 1, steps 301, max0 10, max1 90
pass 2, stk 1, steps 302, max0 10, max1 90
pass 2, stk 1, steps 303, max0 10, max1 90
pass 2, stk 1, steps 304, max0 10, max1 90
pass 2, stk 1, steps 305, max0 10, max1 90
pass 2, stk 1, steps 306, max0 10, max1 90
pass 2, stk 1, steps 307, max0 10, max1 90
pass 2, stk 1, steps 308, max0 10, max1 90
pass 2, stk 1, steps 309, max0 10, max1 90
pass 2, stk 1, steps 310, max0 10, max1 90
pass 2, stk 1, steps 311, max0 10, max1 90
pass 2, stk 1, steps 312, max0 10, max1 90
pass 2, stk 1, steps 313, max0 10, max1 90
pass 2, stk 1, steps 314, max0 10, max1 90
pass 2, stk 1, steps 315, max0 10, max1 90
pass 2, stk 1, steps 316, max0 10, max1 90
pass 2, stk 1, steps 317, max0 10, max1 90
pass 2, stk 1, steps 318, max0 10, max1 90
pass 2, stk 1, steps 319, max0 10, max1 90
pass 2, stk 1, steps 320, max0 10, max1 90
pass 2, stk 1, steps 321, max0 10, max1 90
pass 2, stk 1, steps 322, max0 10, max1 90
pass 2, stk 1, steps 323, max0 10, max1 90
pass 2, stk 1, steps 324, max0 10, max1 90
pass 2, stk 1, steps 326, max0 11, max1 89
pass 2, stk 1, steps 327, max0 12, max1 88
pass 2, stk 1, steps 328, max0 12, max1 88
pass 2, stk 1, steps 330, max0 13, max1 87
pass 2, stk 1, steps 331, max0 13, max1 87
pass 2, stk 1, steps 332, max0 13, max1 87
pass 2, stk 1, steps 334, max0 14, max1 86
pass 2, stk 1, steps 335, max0 14, max1 86
pass 2, stk 1, steps 336, max0 14, max1 86
pass 2, stk 1, steps 337, max0 14, max1 86
pass 2, stk 1, steps 338, max0 14, max1 86
pass 2, stk 1, steps 339, max0 15, max1 85
pass 2, stk 1, steps 340, max0 15, max1 85
pass 2, stk 1, steps 341, max0 15, max1 85
pass 2, stk 1, steps 343, max0 16, max1 84
pass 2, stk 1, steps 344, max0 17, max1 83
pass 2, stk 1, steps 345, max0 17, max1 83
pass 2, stk 1, steps 346, max0 17, max1 83
pass 2, stk 1, steps 348, max0 18, max1 82
pass 2, stk 1, steps 349, max0 18, max1 82
pass 2, stk 1, steps 350, max0 19, max1 81
pass 2, stk 1, steps 351, max0 19, max1 81
pass 2, stk 1, steps 352, max0 19, max1 81
pass 2, stk 1, steps 353, max0 20, max1 80
pass 2, stk 1, steps 355, max0 21, max1 79
pass 2, stk 1, steps 356, max0 21, max1 79
pass 2, stk 1, steps 357, max0 21, max1 79
pass 2, stk 1, steps 358, max0 21, max1 79
pass 2, stk 1, steps 359, max0 21, max1 79
